software,reference,group,score,scoreN,score1,score1N,score2,score2N,score3,score3N,score4,score4N,score5,score5N,1_2_3,1_3_1,1_3,1_5_1,1_5_2,1_6_1,1_6_2,2_1,2_2,2_3,2_4,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5_1,3_1_5_2,3_1_5_3,3_1_5_4,3_2_1,3_2_2,3_2_3,3_2_4,4_1,4_2,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,5_1,5_2_1,5_2_2,5_2_3,5_2_4,5_3_1,5_3_2,5_3_3,5_4_1,5_4_2,description,link
CARINE,3,T,11,27.5,0,0,2,5,5,12.5,1,2.5,3,7.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"Interactive representation of direct and reciprocal lattice network, stereographic representations and X-Ray diffraction diagrams. MacOS versions limited to 68xx.",http://www.iucr.org/resources/other-directories/software/ca.r.ine-crystallography
BALLS & STICKS,2,T,9,22.5,0,0,2,5,3,7.5,3,7.5,1,2.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Balls & Sticks is a program to create 3D image and animation of crystal structures. It was designed with the emphasis on ease of use. It imports CIF files, then polyhedra and bonds can be defined by mouse-cliking on end-member atoms. All the other operations are also implemented via the graphical user interface.",http://www.iucr.org/resources/other-directories/software/balls-and-sticks
JAVA LATTICE TOOL,11,T,9,22.5,0,0,2,5,2,5,2,5,3,7.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Interactive macromolecular graphics,http://www.iucr.org/resources/other-directories/software/java-lattice-tool
SCHAKAL,21,T,9,22.5,2,5,1,2.5,3,7.5,0,0,3,7.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"SCHAKAL, written by Egbert Keller, is a program for the graphical representation of molecular and solid-state structure models.",http://www.iucr.org/resources/other-directories/software/schakal
ATOMS,1,T,9,22.5,1,2.5,1,2.5,1,2.5,3,7.5,3,7.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Display of atomic structures.,http://www.iucr.org/resources/other-directories/software/atoms
SHELXLE,22,T,8,20,3,7.5,0,0,2,5,1,2.5,2,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ShelXle is a graphical user interface (GUI) for SHELXL.It combines an editor with syntax highlighting feature and a OpenGL visualization of the structure including electron density maps. The GUI is written in C++ using the Qt4 library and the Fourier transformation for the map is done using FFTW3 library.,http://www.iucr.org/resources/other-directories/software/shelxle
RASMOL,20,T,8,20,1,2.5,1,2.5,1,2.5,2,5,3,7.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,molecular graphics visualisation tool,http://www.iucr.org/resources/other-directories/software/rasmol
CHEMCRAFT,4,T,7,17.5,1,2.5,1,2.5,2,5,1,2.5,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Chemcraft is a graphical program which can open crystallography files (CIF, Shelx) with multiple tools for convenient working with crystal structure.",http://www.iucr.org/resources/other-directories/software/chemcraft
QUTEMOL,19,T,6,15,2,5,0,0,2,5,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QuteMol is an open source (GPL), interactive, high quality molecular visualization system. QuteMol exploits the current GPU capabilites through OpenGL shaders to offers an array of innovative visual effects. QuteMol visualization techniques are aimed at improving clarity and an easier understanding of the 3D shape and structure of large molecules or complex proteins.",http://www.iucr.org/resources/other-directories/software/qutemol
XTALDRAW,26,T,6,15,0,0,1,2.5,1,2.5,1,2.5,3,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"Interactive computer graphics program. Displays, manipulates and analyzes ball and stick, polyhedral and thermal ellipsoid colored drawings of any crystal structure or molecule.",http://www.iucr.org/resources/other-directories/software/xtaldraw
CRYSTALLOGRAPHICA,5,T,5,12.5,0,0,1,2.5,2,5,1,2.5,1,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Toolkit aimed at all scientists whose work involves crystallography. Combining an easy-to-use Microsoft Windows interface with a powerful and flexible crystallographic engine, it can serve as a â€˜friendly crystallographerâ€™ for the non-specialist, but has more than enough power to satisfy the most demanding professional. Ideal for teaching too!.",http://www.iucr.org/resources/other-directories/software/crystallographica
POWDERCELL,17,T,5,12.5,0,0,1,2.5,1,2.5,0,0,3,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"Displays crystal structures, uses different data formats. The aim of this program is the intuitive generation of initial structure models to use them in refinement procedures, e.g. in so called Rietveld programs.",http://www.iucr.org/resources/other-directories/software/powder-cell
PLATON,16,T,5,12.5,1,2.5,1,2.5,1,2.5,0,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Versatile SHELX97 compatible multipurpose crystallographic tool implementing the following features: standard geometrical calculations, descriptors, tests, utilities, graphics",http://www.iucr.org/resources/other-directories/software/platon
GRETEP,9,T,5,12.5,0,0,1,2.5,1,2.5,1,2.5,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Part of the LMGP suite. Thermal Ellipsoids Plot Structure Viewing, Thermal Ellipsoid Plotting and analysis Software",http://www.iucr.org/resources/other-directories/software/gretep
JAMM,10,T,4,10,0,0,0,0,1,2.5,2,5,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"The JaMM 2.1 applet gives the user several options for examining the molecular structure. It contains three principal screen elements:a model-rendering area (the heart of JaMM), a control bar (to select drawing modes and options) and a scrollable output area.",http://www.iucr.org/resources/other-directories/software/jamm
ORTEP,14,T,5,12.5,1,2.5,1,2.5,1,2.5,0,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"ORTEP III, the Oak Ridge Thermal Ellipsoid Plot for drawing crystal structure illustrations. Ball-and-stick type illustrations of a quality suitable for publication are produced with either spheres or thermal-motion probability ellipsoids, derived from anisotropic temperature factor parameters, on the atomic sites.",http://www.iucr.org/resources/other-directories/software/ortep
OSCAIL,15,T,5,12.5,1,2.5,1,2.5,1,2.5,0,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Oscail acts like a shell program setting the Jobname and Current directory and running any of ABSEN, GENINS, SHELXS-86, SHELXS-97, SHELXL-97-2 and Superflip. ORTEX (includes GUI for Shelx file edit) and POGL (OpenGL) and Raster3D (photorealism and movies). Oscail  requires WINxp, Vista or WIN7.",http://www.iucr.org/resources/other-directories/software/oscail
STRUVIR,23,T,4,10,0,0,1,2.5,0,0,0,0,3,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"STRUPLO for Windows is a MS-Windows version of STRUVIR, a program for producing polyhedra plots for inorganic crystal structures. It incorporates a Graphical User Interface (GUI) to make production of these plots much easier. Most of the commonly used features of STRUVIR are directly available from the GUI. The interface is similar to that of Ortep-3 for Windows, and loading a coordinate file will result in a default view of the structure immediately.",http://www.iucr.org/resources/other-directories/software/struvir-struplo-for-windows
Crystal Studio,,L,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Software package for crystallography.Creates photo-realistic 3D crystal structures. Plots interactive powder XRD patterns, zone axis electron diffraction patterns and stereographic projections. Free demonstration version available",http://www.iucr.org/resources/other-directories/software/crystal-studio
HyperChem,,L,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molecular Dynamics,http://www.iucr.org/resources/other-directories/software/hyperchem
BRAGI,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interactive protein modelling and display program.,http://www.iucr.org/resources/other-directories/software/bragi
CCP14 Solutions,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advices to solve problems in a variety of fields such as molecular modelling, unix, fortran and all fields related to crystallography.",http://www.iucr.org/resources/other-directories/software/ccp14-solutions
ChemOffice,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The CS ChemOffice suite includes CS ChemDraw(tm), the",http://www.iucr.org/resources/other-directories/software/chemoffice
ChemDraw,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drawing of chemical structures and reaction mechanisms.,http://www.iucr.org/resources/other-directories/software/chemdraw
EIKONA 3D,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Integrated software package for 3D image processing, analysis and visualization. Based on an extensive library of routines for the manipulation of the specifically designed data structures and the multitude of the supported 3D processing, analysis and visualization algorithms. EIKONA3D Library can be used as a stand-alone Application Program Interface (API) for the development of custom 3D processing applications for both Windows and UNIX platforms using the C programming language.",http://www.iucr.org/resources/other-directories/software/eikona-3d
Escher Web Sketch,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escher Web Sketch allows you to draw repeating patterns. You can select the symmetry of the patterns by clicking on one of the icons in the bar above the drawing area. The drawing tools are selected from the icon bar under the drawing area. The scroll bar(s) on the left will change the pattern size. The right hand side of the drawing area is reserved for each drawing tool's usage. Typically it changes the pen size and color.,http://www.iucr.org/resources/other-directories/software/escher-web-sketch
GLASSVIR,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASSVIR is a program for preparing VRML-1 files for 3D visualization (on the Web or at home) of a selected atom-pair from your RMCA configuration file (.cfg). It is best suited for glasses with exclusive coordination (oxygen or fluorine atoms around a cation for instance). Output as polyhedral and wireframe renderings.,http://www.iucr.org/resources/other-directories/software/glassvir
ISODISTORT,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internet tool for exploring the structural distortion modes of crystalline materials. Provides a GUI to several packages within the ISOTROPY software suite, generates distortion modes induced by irreducible representations of the parent spacegroup symmetry, and also provides an interactive Java applet for visualizing and interactively manipulating the free parameters of each mode.",http://www.iucr.org/resources/other-directories/software/isodisplace
MASSHA,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D graphic system to display and manipulate atomic structures and low resolution models.,http://www.iucr.org/resources/other-directories/software/massha
PC Convolution,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,educational software from Dr Kurt Kosbar kk@ee.umr.edu,http://www.iucr.org/resources/other-directories/software/pc-convolution
SHAPE,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drawing the external morphology (faces) of crystals and quasi-crystals. Also drawing of sections of crystals. The Professional edition (Windows only) includes two capabilities beyond those of the standard edition: quasi-crystals and sections/growth-zones.,http://www.iucr.org/resources/other-directories/software/shape
Spartan,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spartan Student Edition is a serious molecular modeling package for teaching, and learning, chemistry. Combining Spartan's easy-to-use graphical interface with a targeted set of computational engines, the Student Edition provides fundamental molecular modeling utilities supporting the organic chemistry curriculum.",http://www.iucr.org/resources/other-directories/software/spartan
Tessel,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tessel2 is a 3D ""compiler"" to produce crystal and molecular models, parametric surfaces and several forms of sphere tesselations.",http://www.iucr.org/resources/other-directories/software/tessel
VMD,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High performance molecular visualization program. Uses hardware accelerated 3D rendering for real-time animation of molecular dynamics trajectories as well as static structures. Can be connected with a running MD simulation for interactive simulation work.,http://www.iucr.org/resources/other-directories/software/vmd
VRML Crystal Packing Visualization,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.iucr.org/resources/other-directories/software/vrml-crystal-packing-visualization
XR-shape,,F2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subprogram of XR95 compiled for separate release. It allows you to draw the habit of a crystal after giving the indices of the planes (hkl) and their distances from the origin. T,http://www.iucr.org/resources/other-directories/software/xr-shape
AC_prediction,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program for the analysis of atomic mobility. AC_prediction implements automatic decision-making procedures based on atomic shift magnitudes in unrestrained refinement to highlight the specific residues that are likely to harbour alternative conformations and that hence require checking via electron density maps,http://www.iucr.org/resources/other-directories/software/ac_prediction
ASCALAPH,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ascalaph is a general purpose molecular modeling suite that performs quantum mechanics calculations for initial molecular model development, molecular mechanics and dynamics simulations in the gas or in condensed phase. It can interact with external molecular modeling packages (MDynaMix, NWChem, CP2K and PC GAMESS/Firefly).",http://www.iucr.org/resources/other-directories/software/ascalaph
ATSAS,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New developments in version 2.4 of the ATSAS package for the processing and analysis of isotropic small-angle X-ray and neutron scattering data are described.,http://www.iucr.org/resources/other-directories/software/atsas
AutoDock,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suite of automated docking tools designed to predict how small molecules, such as substrates or drug candidates, bind to a receptor of known 3D structure. Of use for X-ray crystallography, structure-based drug design, lead optimization, virtual screening (HTS), combinatorial library design, protein-protein docking, chemical mechanism studies.",http://www.iucr.org/resources/other-directories/software/autodock
BALSAC,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Build and Analyze Lattices, Surfaces, And Clusters,",http://www.iucr.org/resources/other-directories/software/balsac
BCA spreadsheets,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Series of Crystallographic Spreadsheets in EXCEL format collated by David Taylor and the Industrial group of the BCA (British Crystallographic Association). Includes calculations relating to thin films, pattern and peak position correction, manual search match sheet, X-ray penetration, size/strain calculation.",http://www.iucr.org/resources/other-directories/software/bca-spreadsheets
Bond Valence Wizard,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stand-alone program which predicts bond lengths by the Bond Valence Method. Complex structures up to 6480 different atomic positions are acceptable. Uses GUI and user-extendible database for unit length parameters which bases on I.D.Brown's tables,http://www.iucr.org/resources/other-directories/software/bond-valence-wizard
BRASS,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bremen Rietveld Analysis and Structure Suite. Quantitative, qualitative and structural analyses based on powder diffraction data and crystallographic structure models. Structure model plots and crystal chemical calculations. Crystallite size and microstrain determination. Provide a common platform for tasks which are often designated stand-alone programs.",http://www.iucr.org/resources/other-directories/software/BRASS
BRL,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates multiple Bragg diffraction of x-rays by perfect crystals. Simulates up to 12-wave dynamical Bragg diffraction of x-rays from plate shaped crystals including the cases of x-ray waves grazing along the plate surface and the Bragg angles being close to 90 degrees.,http://www.iucr.org/resources/other-directories/software/brl
CalcOPP,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CalcOPP is a program for the calculation of one-particle potentials (OPPs) from probability-density functions in 2D.It accepts well-formed STF files as generated by JANA2000 or JANA2006. The input file has to contain PDF data sampled on a uniform grid. CalcOPP can only use 2D data from a single slice.The output is a generic ASCII file of space-separated values giving x, y, PDF (with error, if a map was supplied) and OPP value (with error, if a map was supplied) for every grid point. It is fit for plotting with most modern applications (e. g., QtiPlot or Origin).",http://www.iucr.org/resources/other-directories/software/calcopp
ChemPen3D,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drawing of molecular structures. Extended DREIDING molecular mechanics force fields geometries, includes hydrogen bonding, calculates anumber of physical parameters.",http://www.iucr.org/resources/other-directories/software/chempen3d
CMPR,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multipurpose program that can be used for displaying diffraction data, manual indexing and peak fitting and other nifty stuff. CMPR is designed to be expanded by the users.",http://www.iucr.org/resources/other-directories/software/cmpr
Contour,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wafer mapping, texture mapping and reciprocal space mapping in an easy-to-use and easy-to-understand form.",http://www.iucr.org/resources/other-directories/software/contour
CrysPage,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Program to facilitate the rapid evaluation of high-throughput crystallization trials by experienced crystallographers. Chemical space can be searched and selected drops can be displayed for detailed inspection. CrysPage, including helper scripts, documentation and an example, is available from the authors upon request (lesser@helix.nih.gov or dixia@helix.nih.gov).",http://www.iucr.org/resources/other-directories/software/cryspage
CRYSTAL PALACE,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Powder-indexing wizard in the form of a family of DOS scripts and programs for running indexing programs automatically. Provides links to a number of indexing programs. Replaces Crys2run,http://www.iucr.org/resources/other-directories/software/crystal-palace
CrystalExplorer,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Designed principally to calculate, display and colour the Hirshfeld surface for a chosen molecule, or cluster or atoms, within a crystal.",http://www.iucr.org/resources/other-directories/software/crystalexplorer3
DADIMODO,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Program for refining atomic models of multidomain proteins or complexes against small-angle X-ray scattering data. Interdomain distance and orientational restraints, such as those derived from NMR measurements, can be included in the optimization process. A software package including the Python code, documentation, examples and additional scripts is available from the authors on request.",http://www.iucr.org/resources/other-directories/software/dadimodo2
DataThief,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program to reverse engineer scanned graphs to datapoints.,http://www.iucr.org/resources/other-directories/software/datathief
DEF4,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simulation of plane wave topographs for dislocations,http://www.iucr.org/resources/other-directories/software/def4
DEFW,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simulation of section topographs for dislocations,http://www.iucr.org/resources/other-directories/software/defw
DENFERT,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An algorithm for improvement of the ab initio restoration of biomacromolecular structure from small-angle X-ray scattering data, by consideration of an additional type of `dummy atom', representing the hydration layer is implemented in the program DENFERT.",http://www.iucr.org/resources/other-directories/software/denfert
DiffractWD,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program for basic powder pattern manipulations and visualization. It provides a user-friendly interface for comparison of spectra with each other and with simulated patterns based on single-crystal data.,http://www.iucr.org/resources/other-directories/software/diffractwd
DPLOT,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Graphing Utility,http://www.iucr.org/resources/other-directories/software/dplot
DRAW,,F1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The best and fastest way to get HPGL files into WORD 6 documents.,http://www.iucr.org/resources/other-directories/software/draw
